column,P-value,Mann-Whitney U statistic,Chi-square,Spearman Correlation Coefficient,relation
العمر,0.6301031462920668,-,-,0.037197280700213914,not Significant
المحافظة,0.510559502060903,-,19.173745912400047,-,not Significant
السكن,0.8282957604874187,-,7.425038504380611,-,not Significant
الجنس,0.6429537202384377,-,2.509398053812685,-,not Significant
المحافظة,0.3018118140865921,-,9.500954801642857,-,not Significant
المحافظة,0.26507117893938337,-,40.87038607500665,-,not Significant
امتلاك سيارة,0.43088986100132187,2960.5,-,-,not Significant
امتلاك رخصة قيادة سيارة,0.38203852940859584,3245.0,-,-,not Significant
ركوب سيارة ذاتية القيادة مسبقا,0.32686981884289834,1025.5,-,-,not Significant
البنية التحتية هي العقبة الرئيسية لقبول السيارات ذاتية القيادة.,0.3430688660692591,-,-,0.07315967599434202,not Significant
الفجوة في قدرة الناس على إصلاح السيارات الكهربائية هي مشكلة رئيسية.,0.9519236880930355,-,-,0.004658471048255394,not Significant
إحدى المشاكل التي تواجه السيارة بدون سائق هي عدم ثقة الناس بالذكاء الاصطناعي.,0.0491171429955991,-,-,-0.1511529998523657,Significant
تشعر بالخوف اتجاه السلامة في السيارات ذاتية القيادة,8.417273311737126e-06,-,-,-0.3342181116414302,Significant
تشعر بالخوف اتجاه تكاليف الصيانة في السيارات ذاتية القيادة,0.6284979504103605,-,-,-0.037371751985737466,not Significant
تشعر بالخوف اتجاه القرصنة و التهكير في السيارات ذاتية القيادة,0.020225227137174055,-,-,-0.17798892441109623,Significant
السيارات ذاتية القيادة سوف تسرق بعض الوظائف,0.5220629416659228,-,-,-0.04943338275911395,not Significant
اثق في التكنولوجيا,0.0002620563273461414,-,-,0.2765174795762327,Significant
لدي معرفة سابقة عن السيارات ذاتية القيادة,0.0007093231403434169,-,-,0.25720512104530324,Significant
أفكر في شراء سيارة بدون سائق في المستقبل,1.1829325187223451e-09,-,-,0.44516973214041416,Significant
أشعر بالقلق بشأن التداعيات المتعلقة بالخصوصية للسيارات بدون سائق,0.7037048234967863,-,-,-0.029379994587254866,not Significant
تكلفة شراء سيارات ذاتية القيادة عالية جدا,0.04502557263185907,-,-,0.15394977112619407,Significant
تكلفة القطع الخاصة في السيارات ذاتية القيادة غالية جدا,0.1109275524281549,-,-,0.12269997912050505,not Significant
تكلفة تصليح السيارات ذاتية القيادة كبيرة جدا,0.3106831017308068,-,-,0.07821198747499868,not Significant
كل السيارات ذاتية القيادة هي سيارات كهربائية فقط,0.8628806745174582,-,-,0.013343987788212575,not Significant
السيارات ذاتية القيادة أمن من سيارات العادية,9.321506537888261e-05,-,-,0.29517210814720424,Significant
السيارات بدون سائق ستقلل من حوادث المرور,1.1636077368674906e-05,-,-,0.3292647321923869,Significant
السيارات بدون سائق ستساعد في تقليل التلوث,0.008366355052383563,-,-,0.20164812313189198,Significant
عدم توافر القطع,0.43031491260901245,-,-,0.06087994979490074,not Significant
عدم توفر الاشخاص القادرة على صيانة,0.7272664680019982,-,-,-0.02694290613846597,not Significant
تشكل عدم التزام الناس بقوانين القيادة عقبة في وجه قبول سيارات ذاتية القيادة,0.41084964313972117,-,-,0.06347985384146977,not Significant
