طابع زمني,العمر ,الجنس,المؤهل العلمي,العمل,مكان السكن,المحافظة,الكلية :,ما هو مستوى قبولك للسيارات ذاتية القيادة؟,هل سبق لك ركبت سيارة من غير سائق؟,هل تمتلك رخصة قيادة سيارة؟,هل تمتلك سيارة؟,البنية التحتية هي العقبة الرئيسية لقبول السيارات ذاتية القيادة.,الفجوة في قدرة الناس على إصلاح السيارات الكهربائية هي مشكلة رئيسية.,إحدى المشاكل التي تواجه السيارة بدون سائق هي عدم ثقة الناس بالذكاء الاصطناعي.,تشعر بالخوف اتجاه السلامة في السيارات ذاتية القيادة ,تشعر بالخوف اتجاه تكاليف الصيانة في السيارات ذاتية القيادة ,تشعر بالخوف اتجاه القرصنة و التهكير في السيارات ذاتية القيادة, السيارات ذاتية القيادة سوف تسرق بعض الوظائف,اثق في التكنولوجيا,لدي معرفة سابقة عن السيارات ذاتية القيادة,أفكر في شراء سيارة بدون سائق في المستقبل,أشعر بالقلق بشأن التداعيات المتعلقة بالخصوصية للسيارات بدون سائق,تكلفة شراء سيارات ذاتية القيادة عالية جدا,تكلفة القطع الخاصة في السيارات ذاتية القيادة غالية جدا,تكلفة تصليح السيارات ذاتية القيادة كبيرة جدا,كل السيارات ذاتية القيادة هي سيارات كهربائية فقط,السيارات ذاتية القيادة أمن من سيارات العادية,السيارات بدون سائق ستقلل من حوادث المرور,السيارات بدون سائق ستساعد في تقليل التلوث,عدم توافر القطع,عدم توفر الاشخاص القادرة على صيانة,تشكل عدم التزام الناس بقوانين القيادة عقبة في وجه قبول سيارات ذاتية القيادة
1:43:54 م 2024/08/13,21,ذكر,بكالوريوس,لا أعمل,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,1,لا,نعم,نعم,3,5,5,3,5,1,3,5,1,1,1,4,4,5,1,1,2,4,5,5,1
2:02:18 م 2024/08/13,21,ذكر,بكالوريوس,لا أعمل,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,5,لا,لا,لا,5,2,5,1,4,3,5,4,4,3,4,5,4,4,5,5,5,5,4,3,5
2:02:21 م 2024/08/13,21,ذكر,بكالوريوس,لا أعمل,قرية,قلقيلية,كلية الهندسة وتكنولوجيا المعلومات,2,لا,لا,لا,5,3,4,5,5,5,5,3,3,1,5,4,4,4,2,1,1,1,5,5,5
2:08:46 م 2024/08/13,21,ذكر,بكالوريوس,لا أعمل,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,2,لا,لا,لا,5,4,5,5,3,5,5,3,1,1,5,5,5,5,5,1,1,5,5,5,5
3:11:50 م 2024/08/13,22,أنثى,بكالوريوس,لا أعمل,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,لا,لا,لا,4,4,5,4,4,5,5,3,4,2,4,5,5,5,3,3,3,4,4,4,4
4:02:12 م 2024/08/13,21,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,مخيم,نابلس,كلية الهندسة وتكنولوجيا المعلومات,1,لا,نعم,لا,3,5,5,5,5,5,3,5,5,5,2,3,2,1,1,1,1,2,2,5,5
4:06:57 م 2024/08/13,21,ذكر,بكالوريوس,لا أعمل,قرية,طولكرم,كلية الهندسة وتكنولوجيا المعلومات,4,لا,لا,لا,5,4,4,3,5,4,5,3,3,3,2,5,5,5,3,2,2,3,5,5,5
4:07:06 م 2024/08/13,22,أنثى,بكالوريوس,لا أعمل,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,5,لا,لا,لا,5,4,4,1,3,3,2,4,4,5,4,3,3,3,3,4,4,3,3,3,3
4:09:15 م 2024/08/13,20,أنثى,بكالوريوس,لا أعمل,مدينة,رام الله,كلية العلوم الإنسانية والتربوية,4,نعم,لا,لا,4,3,1,3,5,2,1,4,3,5,2,5,5,5,3,3,3,4,4,4,5
4:13:30 م 2024/08/13,20,أنثى,بكالوريوس,لا أعمل,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,2,لا,نعم,نعم,2,3,4,4,4,5,3,3,2,2,3,4,4,4,3,3,3,3,4,4,5
4:14:53 م 2024/08/13,28,أنثى,بكالوريوس,أعمل في مجالات أخرى,مدينة,نابلس,كلية العلوم الإنسانية والتربوية,4,لا,نعم,لا,5,4,4,3,5,4,4,3,1,3,4,4,4,4,3,3,1,1,5,5,3
